timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageCN
2022-10-01T11:57:21.380Z,237
2022-10-01T12:02:21.281Z,236
2022-10-01T12:07:21.379Z,236
2022-10-01T12:12:21.377Z,236
2022-10-01T12:17:21.335Z,236
2022-10-01T12:22:21.368Z,236
2022-10-01T12:27:21.593Z,236
2022-10-01T12:32:21.371Z,236
2022-10-01T12:37:21.471Z,236
2022-10-01T12:42:21.337Z,236
2022-10-01T12:47:21.431Z,236
2022-10-01T12:52:50.598Z,236
2022-10-01T12:57:21.361Z,236
2022-10-01T13:02:21.338Z,236
2022-10-01T13:07:21.436Z,236
2022-10-01T13:12:21.400Z,236
2022-10-01T13:17:21.258Z,236
2022-10-01T13:22:21.364Z,236
2022-10-01T13:27:21.308Z,236
2022-10-01T13:32:21.352Z,236
2022-10-01T13:37:21.381Z,237
2022-10-01T13:42:21.330Z,236
2022-10-01T13:47:21.391Z,236
2022-10-01T13:52:21.342Z,236
2022-10-01T13:57:51.309Z,236
2022-10-01T14:02:21.332Z,236
2022-10-01T14:07:21.620Z,236
2022-10-01T14:12:21.419Z,236
2022-10-01T14:17:21.311Z,236
2022-10-01T14:22:50.567Z,236
2022-10-01T14:27:21.293Z,236
2022-10-01T14:32:21.331Z,236
2022-10-01T14:37:20.945Z,236
2022-10-01T14:42:21.363Z,236
2022-10-01T14:47:21.351Z,236
2022-10-01T14:52:21.420Z,236
2022-10-01T14:57:21.532Z,236
2022-10-01T15:02:21.316Z,236
2022-10-01T15:07:21.461Z,235
2022-10-01T15:12:20.509Z,235
2022-10-01T15:17:21.316Z,236
2022-10-01T15:22:21.247Z,236
2022-10-01T15:27:21.052Z,236
2022-10-01T15:32:21.582Z,236
2022-10-01T15:37:21.773Z,236
2022-10-01T15:42:21.536Z,235
2022-10-01T15:47:21.374Z,236
2022-10-01T15:52:21.395Z,234
2022-10-01T15:57:21.095Z,234
2022-10-01T16:02:21.348Z,234
2022-10-01T16:07:21.381Z,236
2022-10-01T16:12:21.358Z,236
2022-10-01T16:17:21.423Z,236
2022-10-01T16:22:21.557Z,236
2022-10-01T16:27:21.429Z,236
2022-10-01T16:32:21.412Z,236
2022-10-01T16:37:21.378Z,236
2022-10-01T16:42:21.279Z,236
2022-10-01T16:47:21.622Z,236
2022-10-01T16:52:21.439Z,236
2022-10-01T16:57:21.384Z,236
2022-10-01T17:02:21.315Z,236
2022-10-01T17:07:21.222Z,237
2022-10-01T17:12:21.019Z,236
2022-10-01T17:17:21.345Z,236
2022-10-01T17:22:21.338Z,236
2022-10-01T17:27:21.505Z,236
2022-10-01T17:32:21.396Z,236
2022-10-01T17:37:21.410Z,236
2022-10-01T17:42:21.577Z,236
2022-10-01T17:47:21.303Z,236
2022-10-01T17:52:21.383Z,236
2022-10-01T17:57:21.289Z,236
2022-10-01T18:02:21.366Z,236
2022-10-01T18:07:21.301Z,236
2022-10-01T18:12:21.432Z,236
2022-10-01T18:17:21.525Z,236
2022-10-01T18:22:21.355Z,236
2022-10-01T18:27:21.400Z,236
2022-10-01T18:32:21.323Z,236
2022-10-01T18:37:21.362Z,236
2022-10-01T18:42:21.545Z,236
2022-10-01T18:47:21.374Z,236
2022-10-01T18:52:21.538Z,236
2022-10-01T18:57:21.438Z,236
2022-10-01T19:02:21.335Z,236
2022-10-01T19:07:21.495Z,236
2022-10-01T19:12:21.374Z,236
2022-10-01T19:17:21.501Z,236
2022-10-01T19:22:21.666Z,236
2022-10-01T19:27:21.238Z,236
2022-10-01T19:32:21.569Z,236
2022-10-01T19:37:21.342Z,237
2022-10-01T19:42:21.426Z,236
2022-10-01T19:47:21.573Z,236
2022-10-01T19:52:50.504Z,236
2022-10-01T19:57:21.504Z,236
2022-10-01T20:02:21.365Z,236
2022-10-01T20:07:21.319Z,236
2022-10-01T20:12:21.950Z,236
2022-10-01T20:17:21.339Z,236
2022-10-01T20:22:21.437Z,236
2022-10-01T20:27:21.450Z,236
2022-10-01T20:32:21.105Z,236
2022-10-01T20:37:21.340Z,238
2022-10-01T20:42:21.432Z,238
2022-10-01T20:47:22.150Z,238
2022-10-01T20:52:21.359Z,237
2022-10-01T20:57:51.392Z,238
2022-10-01T21:02:21.368Z,238
2022-10-01T21:07:21.385Z,238
2022-10-01T21:12:21.426Z,238
2022-10-01T21:17:21.277Z,238
2022-10-01T21:22:21.449Z,238
2022-10-01T21:27:21.605Z,238
2022-10-01T21:32:21.361Z,238
2022-10-01T21:37:21.478Z,238
2022-10-01T21:42:21.646Z,238
2022-10-01T21:47:21.302Z,238
2022-10-01T21:52:21.536Z,238
2022-10-01T21:57:21.442Z,238
2022-10-01T22:02:21.490Z,238
2022-10-01T22:07:21.659Z,238
2022-10-01T22:12:21.549Z,238
2022-10-01T22:17:21.414Z,238
2022-10-01T22:22:21.384Z,238
2022-10-01T22:27:21.320Z,238
2022-10-01T22:32:21.456Z,238
2022-10-01T22:37:20.936Z,238
2022-10-01T22:42:21.142Z,238
2022-10-01T22:47:21.386Z,238
2022-10-01T22:52:50.464Z,238
2022-10-01T22:57:21.552Z,236
2022-10-01T23:02:21.385Z,236
2022-10-01T23:07:21.319Z,236
2022-10-01T23:12:21.396Z,236
2022-10-01T23:17:21.562Z,236
2022-10-01T23:22:21.419Z,236
2022-10-01T23:27:21.433Z,236
2022-10-01T23:32:21.521Z,236
2022-10-01T23:37:21.403Z,236
2022-10-01T23:42:21.287Z,236
2022-10-01T23:47:21.622Z,236
2022-10-01T23:52:21.388Z,236
2022-10-01T23:57:21.311Z,236
2022-10-02T00:02:21.466Z,236
2022-10-02T00:07:21.265Z,236
2022-10-02T00:12:21.513Z,236
2022-10-02T00:17:21.442Z,236
2022-10-02T00:22:21.458Z,236
2022-10-02T00:27:21.348Z,236
2022-10-02T00:32:21.401Z,236
2022-10-02T00:37:21.390Z,235
2022-10-02T00:42:21.453Z,236
2022-10-02T00:47:21.322Z,236
