timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageAN
2022-12-07T07:18:15.264Z,236
2022-12-07T07:23:15.205Z,236
2022-12-07T07:28:15.224Z,236
2022-12-07T07:33:15.338Z,236
2022-12-07T07:38:15.299Z,236
2022-12-07T07:43:15.268Z,236
2022-12-07T07:48:15.225Z,236
2022-12-07T07:53:15.184Z,236
2022-12-07T07:58:15.198Z,236
2022-12-07T08:03:15.378Z,236
2022-12-07T08:08:15.447Z,236
2022-12-07T08:13:15.179Z,237
2022-12-07T08:18:15.179Z,237
2022-12-07T08:23:15.238Z,236
2022-12-07T08:28:15.194Z,236
2022-12-07T08:33:15.324Z,237
2022-12-07T08:38:15.289Z,237
2022-12-07T08:43:15.603Z,237
2022-12-07T08:48:15.460Z,237
2022-12-07T08:53:15.202Z,236
2022-12-07T08:58:15.232Z,236
2022-12-07T09:03:15.357Z,237
2022-12-07T09:08:15.142Z,237
2022-12-07T09:13:15.442Z,237
2022-12-07T09:18:15.145Z,237
2022-12-07T09:23:15.213Z,237
2022-12-07T09:28:15.239Z,236
2022-12-07T09:33:15.335Z,236
2022-12-07T09:38:15.233Z,237
2022-12-07T09:43:15.794Z,237
2022-12-07T09:48:15.372Z,236
2022-12-07T09:53:15.399Z,237
2022-12-07T09:58:15.196Z,236
2022-12-07T10:03:15.231Z,237
2022-12-07T10:08:15.561Z,236
2022-12-07T10:13:15.353Z,236
2022-12-07T10:18:15.190Z,236
2022-12-07T10:23:15.268Z,236
2022-12-07T10:28:15.281Z,236
2022-12-07T10:33:15.262Z,236
2022-12-07T10:38:15.253Z,236
2022-12-07T10:43:15.249Z,236
2022-12-07T10:48:15.385Z,236
2022-12-07T10:53:15.205Z,236
2022-12-07T10:58:15.133Z,237
2022-12-07T11:03:15.316Z,237
2022-12-07T11:08:15.306Z,236
2022-12-07T11:13:15.892Z,235
2022-12-07T11:18:15.237Z,235
2022-12-07T11:23:15.342Z,236
2022-12-07T11:28:15.187Z,235
2022-12-07T11:33:15.497Z,236
2022-12-07T11:38:15.223Z,236
2022-12-07T11:43:15.295Z,236
2022-12-07T11:48:15.206Z,236
2022-12-07T11:53:15.185Z,236
2022-12-07T11:58:15.205Z,236
2022-12-07T12:03:15.158Z,236
2022-12-07T12:08:15.222Z,236
2022-12-07T12:13:15.255Z,236
2022-12-07T12:18:15.355Z,236
2022-12-07T12:23:15.245Z,236
2022-12-07T12:28:15.011Z,236
2022-12-07T12:33:15.274Z,236
2022-12-07T12:38:15.334Z,236
2022-12-07T12:43:15.409Z,236
2022-12-07T12:48:15.251Z,236
2022-12-07T12:53:15.248Z,236
2022-12-07T12:58:15.296Z,236
2022-12-07T13:03:15.433Z,236
2022-12-07T13:08:15.500Z,235
2022-12-07T13:13:15.126Z,235
2022-12-07T13:18:15.221Z,235
2022-12-07T13:23:15.311Z,235
2022-12-07T13:28:15.308Z,235
2022-12-07T13:33:15.321Z,236
2022-12-07T13:38:15.355Z,235
2022-12-07T13:43:15.276Z,236
2022-12-07T13:48:14.787Z,235
2022-12-07T13:53:15.420Z,235
2022-12-07T13:58:15.244Z,235
2022-12-07T14:03:15.232Z,235
2022-12-07T14:08:15.244Z,235
2022-12-07T14:13:15.348Z,235
2022-12-07T14:18:15.313Z,235
2022-12-07T14:23:15.213Z,235
2022-12-07T14:28:15.281Z,235
2022-12-07T14:33:15.231Z,235
2022-12-07T14:38:15.249Z,235
2022-12-07T14:43:15.636Z,234
2022-12-07T14:48:15.129Z,234
2022-12-07T14:53:15.247Z,234
2022-12-07T14:58:15.291Z,235
2022-12-07T15:03:15.445Z,235
2022-12-07T15:08:15.148Z,235
2022-12-07T15:13:15.307Z,236
2022-12-07T15:18:15.266Z,236
2022-12-07T15:23:15.248Z,236
2022-12-07T15:28:15.507Z,235
2022-12-07T15:33:15.398Z,234
2022-12-07T15:38:15.380Z,235
2022-12-07T15:43:15.248Z,235
2022-12-07T15:48:15.006Z,233
2022-12-07T15:53:15.424Z,234
2022-12-07T15:58:15.269Z,234
2022-12-07T16:03:15.055Z,235
2022-12-07T16:08:15.172Z,234
2022-12-07T16:13:15.301Z,234
2022-12-07T16:18:15.352Z,234
2022-12-07T16:23:15.283Z,234
2022-12-07T16:28:15.227Z,234
2022-12-07T16:33:15.260Z,234
2022-12-07T16:38:15.385Z,234
2022-12-07T16:43:15.270Z,234
2022-12-07T16:48:15.282Z,233
2022-12-07T16:53:15.291Z,234
2022-12-07T16:58:15.583Z,234
2022-12-07T17:03:15.188Z,234
2022-12-07T17:08:15.223Z,234
2022-12-07T17:13:15.315Z,234
2022-12-07T17:18:15.179Z,234
2022-12-07T17:23:15.247Z,234
2022-12-07T17:28:15.230Z,233
